"gain","cost","metric","n","mean","sd","min","max"
"0.01","0","count turtles","5","1340.8","42.599","1284","1390"
"0.01","0","cc-percent","5","0.401","0.093","0.325","0.547"
"0.01","0","cd-percent","5","0.482","0.104","0.315","0.555"
"0.01","0","dc-percent","5","0.052","0.026","0.024","0.094"
"0.01","0","dd-percent","5","0.065","0.02","0.044","0.09"
"0.01","0","last100consist-ethno-percent","5","0.817","0.034","0.76","0.851"
"0.01","0","last100coop-percent","5","0.811","0.015","0.786","0.824"
"0.01","0.01","count turtles","5","656.4","166.27","457","819"
"0.01","0.01","cc-percent","5","0.159","0.049","0.104","0.22"
"0.01","0.01","cd-percent","5","0.22","0.08","0.16","0.343"
"0.01","0.01","dc-percent","5","0.227","0.092","0.095","0.321"
"0.01","0.01","dd-percent","5","0.394","0.041","0.341","0.442"
"0.01","0.01","last100consist-ethno-percent","5","0.398","0.113","0.287","0.564"
"0.01","0.01","last100coop-percent","5","0.372","0.103","0.271","0.519"
"0.01","0.03","count turtles","5","554.8","123.311","380","701"
"0.01","0.03","cc-percent","5","0.036","0.014","0.018","0.054"
"0.01","0.03","cd-percent","5","0.052","0.015","0.036","0.072"
"0.01","0.03","dc-percent","5","0.267","0.067","0.206","0.34"
"0.01","0.03","dd-percent","5","0.645","0.079","0.535","0.715"
"0.01","0.03","last100consist-ethno-percent","5","0.133","0.019","0.104","0.152"
"0.01","0.03","last100coop-percent","5","0.093","0.023","0.065","0.129"
"0.01","0.06","count turtles","5","429","49.381","365","497"
"0.01","0.06","cc-percent","5","0.015","0.004","0.009","0.019"
"0.01","0.06","cd-percent","5","0.029","0.012","0.017","0.044"
"0.01","0.06","dc-percent","5","0.17","0.043","0.097","0.206"
"0.01","0.06","dd-percent","5","0.787","0.042","0.741","0.85"
"0.01","0.06","last100consist-ethno-percent","5","0.095","0.013","0.085","0.117"
"0.01","0.06","last100coop-percent","5","0.038","0.008","0.029","0.046"
"0.03","0","count turtles","5","1820.4","53.915","1756","1900"
"0.03","0","cc-percent","5","0.207","0.065","0.139","0.308"
"0.03","0","cd-percent","5","0.739","0.069","0.626","0.798"
"0.03","0","dc-percent","5","0.017","0.01","0.01","0.035"
"0.03","0","dd-percent","5","0.036","0.01","0.027","0.052"
"0.03","0","last100consist-ethno-percent","5","0.91","0.02","0.878","0.932"
"0.03","0","last100coop-percent","5","0.825","0.021","0.798","0.848"
"0.03","0.01","count turtles","5","1629.2","40.948","1590","1685"
"0.03","0.01","cc-percent","5","0.161","0.032","0.11","0.198"
"0.03","0.01","cd-percent","5","0.727","0.04","0.691","0.787"
"0.03","0.01","dc-percent","5","0.024","0.009","0.008","0.031"
"0.03","0.01","dd-percent","5","0.088","0.025","0.059","0.12"
"0.03","0.01","last100consist-ethno-percent","5","0.878","0.023","0.846","0.902"
"0.03","0.01","last100coop-percent","5","0.764","0.026","0.731","0.794"
"0.03","0.03","count turtles","5","610.4","76.592","556","741"
"0.03","0.03","cc-percent","5","0.087","0.021","0.061","0.117"
"0.03","0.03","cd-percent","5","0.193","0.043","0.142","0.259"
"0.03","0.03","dc-percent","5","0.181","0.035","0.134","0.226"
"0.03","0.03","dd-percent","5","0.539","0.084","0.398","0.602"
"0.03","0.03","last100consist-ethno-percent","5","0.326","0.06","0.268","0.423"
"0.03","0.03","last100coop-percent","5","0.275","0.051","0.227","0.359"
"0.03","0.06","count turtles","5","516","57.092","429","585"
"0.03","0.06","cc-percent","5","0.018","0.008","0.007","0.026"
"0.03","0.06","cd-percent","5","0.035","0.009","0.022","0.043"
"0.03","0.06","dc-percent","5","0.155","0.028","0.119","0.189"
"0.03","0.06","dd-percent","5","0.791","0.031","0.746","0.833"
"0.03","0.06","last100consist-ethno-percent","5","0.119","0.01","0.109","0.131"
"0.03","0.06","last100coop-percent","5","0.049","0.007","0.04","0.06"
"0.06","0","count turtles","5","2109.4","19.705","2089","2135"
"0.06","0","cc-percent","5","0.209","0.05","0.153","0.266"
"0.06","0","cd-percent","5","0.746","0.051","0.691","0.8"
"0.06","0","dc-percent","5","0.012","0.004","0.009","0.018"
"0.06","0","dd-percent","5","0.033","0.005","0.028","0.04"
"0.06","0","last100consist-ethno-percent","5","0.932","0.01","0.914","0.939"
"0.06","0","last100coop-percent","5","0.861","0.018","0.842","0.881"
"0.06","0.01","count turtles","5","2080.8","35.294","2039","2136"
"0.06","0.01","cc-percent","5","0.166","0.032","0.114","0.194"
"0.06","0.01","cd-percent","5","0.774","0.03","0.756","0.827"
"0.06","0.01","dc-percent","5","0.013","0.003","0.01","0.018"
"0.06","0.01","dd-percent","5","0.046","0.007","0.036","0.053"
"0.06","0.01","last100consist-ethno-percent","5","0.92","0.009","0.912","0.931"
"0.06","0.01","last100coop-percent","5","0.823","0.013","0.811","0.845"
"0.06","0.03","count turtles","5","1761.6","38.875","1719","1821"
"0.06","0.03","cc-percent","5","0.059","0.009","0.046","0.068"
"0.06","0.03","cd-percent","5","0.786","0.029","0.75","0.83"
"0.06","0.03","dc-percent","5","0.018","0.01","0.005","0.029"
"0.06","0.03","dd-percent","5","0.137","0.021","0.112","0.166"
"0.06","0.03","last100consist-ethno-percent","5","0.865","0.029","0.826","0.899"
"0.06","0.03","last100coop-percent","5","0.715","0.014","0.701","0.734"
"0.06","0.06","count turtles","5","690.8","56.606","614","767"
"0.06","0.06","cc-percent","5","0.048","0.025","0.02","0.082"
"0.06","0.06","cd-percent","5","0.152","0.025","0.114","0.182"
"0.06","0.06","dc-percent","5","0.087","0.028","0.05","0.125"
"0.06","0.06","dd-percent","5","0.713","0.06","0.611","0.766"
"0.06","0.06","last100consist-ethno-percent","5","0.266","0.048","0.198","0.322"
"0.06","0.06","last100coop-percent","5","0.176","0.046","0.115","0.239"
